Model,Name,Category
800,Gear Set with Motor,Universal Building Set:Gears
801,Gear Set,Universal Building Set:Gears
802,Gear Supplementary Set,Universal Building Set:Gears
803,Extra Bricks Yellow,Universal Building Set:Supplemental
804,Extra Bricks Black,Universal Building Set:Supplemental
805,Extra Bricks Gray,Universal Building Set:Supplemental
806,Extra Plates Blue,Universal Building Set:Supplemental
807,Extra Plates Red,Universal Building Set:Supplemental
808,Wheels and Tires,Universal Building Set:Supplemental
809,Doors and Windows,Universal Building Set:Supplemental
810,Basic Motor Set,Universal Building Set:Supplemental
811,"Red Roof Bricks, Steep Pitch",Universal Building Set:Supplemental
812,Gear Supplementary Set,Universal Building Set:Gears
813,"Baseplate, Green",Universal Building Set:Supplemental
814,"Baseplates, Green, Red and Yellow",Universal Building Set:Supplemental
815,"Baseplate, Gray",Universal Building Set:Supplemental
816,"Lighting Bricks, 4.5V",Universal Building Set:Supplemental
818,Wheel-Wind Motor,Universal Building Set:Supplemental
819,Blue Sea Plate,Universal Building Set:Supplemental
820,Red Plates Parts Pack,Universal Building Set:Supplemental
821,"Brick Separator, Gray",Universal Building Set:Supplemental
822,Blue Plates Parts Pack,Universal Building Set:Supplemental
823,"Wooden Storage Box Medium (Single Latch), Empty",Classic:Wooden Box Set
824,"Wooden Storage Box Large (Double Latch), Empty, without Lattice",Classic:Wooden Box Set
830,Red Bricks Parts Pack,Universal Building Set:Supplemental
831,Black Bricks Parts Pack,Universal Building Set:Supplemental
832,Blue Bricks Parts Pack,Universal Building Set:Supplemental
833,White Bricks Parts Pack,Universal Building Set:Supplemental
834,Yellow Bricks Parts Pack,Universal Building Set:Supplemental
835,Advanced Builders Set,Samsonite:Basic Set
836,Doors and Windows Parts Pack,Universal Building Set:Supplemental
837,Wheels and Tires Parts Pack,Universal Building Set:Supplemental
838,"Red Roof Bricks Parts Pack, 45 degrees",Universal Building Set:Supplemental
839,"Red Roof Bricks Parts Pack, 33 degrees",Universal Building Set:Supplemental
840,"Baseplate, Green",Universal Building Set:Supplemental
841,"Baseplates, Green and Yellow",Universal Building Set:Supplemental
842,"Baseplates, Red and Blue",Universal Building Set:Supplemental
843,"Baseplate, Gray",Universal Building Set:Supplemental
845,"Battery Motor, 9V",Universal Building Set:Supplemental
846,Lighting Bricks,Universal Building Set:Supplemental
850,Fork Lift,Technic:Expert Builder
851,Tractor,Technic:Expert Builder
852,Helicopter,Technic:Expert Builder
853,Auto Chassis,Technic:Expert Builder
854,Go-Kart,Technic:Expert Builder
855,Mobile Crane,Technic:Expert Builder
856,Bulldozer,Technic:Expert Builder
857,Motorcycle,Technic:Expert Builder
858,Auto Engines,Technic:Expert Builder
870,Power Pack,Technic:Expert Builder
871,Expert Builder/Gear Parts,Technic:Expert Builder
872,Two Gear Blocks (Gear Reduction Kit),Technic:Expert Builder
874,Yellow Beams with Connector Pegs,Technic:Expert Builder
875,Red Beams with Connector Pegs,Technic:Expert Builder
