Item No,Name,IsPart,Category
08010dc01,"Electric, Light Brick 4.5V 2 x 2 with 3 Plug Holes, Trans-Clear Diffuser Lens",True,"Electric, Light & Sound"
10039c01,Pullback Motor 8 x 4 x 2/3,True,"Motor, Non-Electric"
100559pb01,"Dog, Friends Style, Dachshund with Molded Neon Yellow Wheelchair Harness and Printed Eyes and Black Nose Pattern (Pickle)",True,"Animal, Land"
100559pb01c01,"Dog, Friends Style, Dachshund with Neon Yellow Wheelchair Harness with Dark Turquoise Wheels (Pickle)",True,"Animal, Land"
100559pb01c02,"Dog, Friends Style, Dachshund with Neon Yellow Wheelchair Harness with Black Wheels (Pickle)",True,"Animal, Land"
100559pb04,"Dog, Friends Style, Dachshund with Molded Neon Yellow Wheelchair Harness and Printed Eyes, Black Nose and White Bubbles Pattern (Pickle)",True,"Animal, Land"
100559pb04c01,"Dog, Friends Style, Dachshund with White Bubbles on Nose and Neon Yellow Wheelchair Harness with Black Wheels (Pickle)",True,"Animal, Land"
100942pb01,"Wheel Hard Plastic, Treaded 49.5mm D. x 37.5mm with Molded Flat Silver Spokes Pattern",True,Wheel
10113,"Minifigure, Headgear Mask Batman Cowl (Angular Ears, Pronounced Brow)",True,"Minifigure, Headgear"
10169,"Minifigure, Utensil Sack / Bag with Handle",True,"Minifigure, Utensil"
10170,Pretzel,True,Food & Drink
10172,"Minifigure, Utensil Trophy Cup Small",True,"Minifigure, Utensil"
10187,"Minifigure, Weapon Bladed Claw, Spread",True,"Minifigure, Weapon"
10197,"Technic, Axle and Pin Connector Hub with 2 Perpendicular Axles",True,"Technic, Connector"
10202,Tile 6 x 6 with Bottom Tubes,True,Tile
10202pb039,Tile 6 x 6 with Bottom Tubes with Black Lines and Circles and Yellow Device Cover Pattern (Sticker) - Set 42136,True,"Tile, Decorated"
10247,"Plate, Modified 2 x 2 with Pin Hole - Full Cross Support Underneath",True,"Plate, Modified"
10258,"Minifigure, Weapon Bow, Compound with Arrow Drawn",True,"Minifigure, Weapon"
10288,"Technic, Axle and Pin Connector Angled Triple - 120 degrees",True,"Technic, Connector"
10312,Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Square Front Cutout,True,Windscreen
103479c01,"Electric Powered Up Bluetooth Hub with Dark Bluish Gray Bottom, 3 Motors, 6 LED Lights and USB-C Port - without Pin Holes to Secure Battery",True,"Electric, Programmable"
103671,"Hose, Pneumatic 4mm D. V2 Precut 11L / 8.8cm",True,"Hose, Pneumatic 4mm D."
103672,"Hose, Pneumatic 4mm D. V2 Precut 7L / 5.6cm",True,"Hose, Pneumatic 4mm D."
104989pb02,"Goat, Friends Style, Baby with Black Eyes, Nose and Mouth and Dark Tan Eyes and Spots Pattern",True,"Animal, Land"
105821,"Mini Doll, Head Friends with Dark Orange Eyebrows, Green Eyes, Nougat Lips and Freckles, and Small Surprised Open Mouth with Teeth Pattern",True,"Mini Doll, Head"
105945,"Mini Doll, Head Friends with Black Eyebrows, Reddish Brown Eyes, Nougat Lips, and Dark Orange Open Mouth Smile with Top Teeth Pattern",True,"Mini Doll, Head"
105955,"Mini Doll, Head Friends with Dark Orange Eyebrows, Mouth and Chin Dimple, Dark Turquoise Right Eye and Closed Left Eye Pattern",True,"Mini Doll, Head"
105995,"Mini Doll, Head Friends with Reddish Brown Eyebrows, Wide Olive Green Eyes, Dark Orange Lips, and Open Mouth Smile with Top Teeth Pattern",True,"Mini Doll, Head"
106009,"Mini Doll, Head Friends with Black Eyebrows and Eyelashes, Wide Shocked Dark Orange Eyes, Reddish Brown Lips, and Open Mouth with Teeth Pattern",True,"Mini Doll, Head"
106341,"Cloth Tent, Peaked with Round Peg Extensions",True,Cloth
107097,"Mini Doll, Head Friends with Dark Orange Eyebrows, Green Eyes, Right Wink, Nougat Lips and Freckles, Lopsided Grin Pattern",True,"Mini Doll, Head"
107102,"Mini Doll, Head Friends with Reddish Brown Eyebrows, Olive Green Eyes, Left Wink, Dark Orange Lips, Wavy Grin with Dimple Pattern",True,"Mini Doll, Head"
107421,"Mini Doll, Head Friends with Thick Black Eyebrows, Dark Orange Eyes, Open Mouth with White Teeth and Coral Tongue Pattern",True,"Mini Doll, Head"
107638,"Mini Doll, Head Friends with Thick Reddish Brown Eyebrows, Dark Turquoise Eyes, Dark Purple Glasses, and Scared Open Mouth with White Teeth Pattern",True,"Mini Doll, Head"
10884,Plant Leaves 6 x 5 Swordleaf with Open O Clip Thick,True,Plant
10928,"Technic, Gear 8 Tooth with Dual Face",True,"Technic, Gear"
109481c01,Electric Rechargeable Battery 3.6V / 2100mAh / 7.56 Wh - without Pin Holes to Secure Battery,True,Electric
109845pb01,"Dog, Friends Style, Corgi with Molded White Lower Body and Face and Printed Black Nose and Mouth, Medium Nougat Eyes and Eyebrows Pattern (Peaches)",True,"Animal, Land"
109845pb02,"Dog, Friends Style, Corgi with Molded White Lower Body and Face and Printed Black Nose and Mouth, Dark Orange Eyes, White Blaze Pattern (Waffles)",True,"Animal, Land"
109845pb03,"Dog, Friends Style, Corgi with Molded White Lower Body and Face and Printed Black Nose and Mouth, Closed Eyes, Bright Pink Tongue, White Spots Pattern (Marimba)",True,"Animal, Land"
109857,"Hose, Pneumatic 4mm D. V2 Precut 3.5L / 2.8cm",True,"Hose, Pneumatic 4mm D."
11002,"Plate, Modified 2 x 2 with Wheels Holder Wide and Hole, Reinforced Bottom",True,"Plate, Modified"
11010,"Minifigure, Utensil Ring 1 x 1",True,"Minifigure, Utensil"
110361,"Mini Doll, Head Friends with Reddish Brown Eyebrows Raised, Black Eyelashes, Closed Eyes, Dark Orange Lips and Freckles, Lopsided Grin with Bright Pink Tongue Sticking Out Pattern",True,"Mini Doll, Head"
110363,"Mini Doll, Head Friends with Black Thick Eyebrows Raised, Eyelashes, Dark Orange Eyes, Reddish Brown Lips, Disgusted Open Mouth with Top Teeth and Bright Pink Tongue Sticking Out Pattern",True,"Mini Doll, Head"
11062,"Support 2 x 2 x 7 Lamp Post, 4 Base Flutes",True,Support
11090,Bar Holder with Clip,True,Bar
11092,Hand Gorilla Fist (fits Minifigure Hand),True,"Minifigure, Body Part"
11100,Minifigure Wing Feathered,True,"Minifigure, Body Wear"
11127,"Rock 1 x 1 Crystal 4 Point (Brick, Round 1 x 1 with 4 Upward Fins / Points)",True,Rock
111383pb01,"Panda, Friends Style with Molded White Head and Body and Printed Black Nose and Eye Patches and Bright Light Blue Eyes Pattern (Lan Lan)",True,"Animal, Land"
11170,"Duplo, Brick 2 x 2 x 1 1/2 Slope Curved",True,"DUPLO, Brick"
11198,"Duplo, Brick 2 x 4 x 2 Arch",True,"DUPLO, Brick"
11203,"Tile, Modified 2 x 2 Inverted",True,"Tile, Modified"
11203pb128,"Tile, Modified 2 x 2 Inverted with Cushion with Black Button, Orange and Magenta Overlapping Circles Pattern (Sticker) - Set 42659",True,"Tile, Modified, Decorated"
11208,"Wheel 14mm D. x 9.9mm with Center Groove, Fake Bolts and 6 Double Spokes",True,Wheel
11208c01,"Wheel 14mm D. x 9.9mm with Center Groove, Fake Bolts and 6 Double Spokes with Black Tire 21 X 9.9 (11208 / 11209)",True,Wheel & Tire Assembly
11209,Tire 21 x 9.9,True,"Wheel, Tire & Tread"
11211,"Brick, Modified 1 x 2 with Studs on 1 Side",True,"Brick, Modified"
