Model,Qty,Item No,Description,Kind
800,4,132old,Black Tire Smooth - Small Solid,regular
800,4,3001old,Black Brick 2 x 4 without Cross Supports,regular
800,14,3001old,Red Brick 2 x 4 without Cross Supports,regular
800,2,3001old,Yellow Brick 2 x 4 without Cross Supports,regular
800,2,3002old,Red Brick 2 x 3 without Cross Supports,regular
800,8,3003old,Red Brick 2 x 2 without Inside Supports,regular
800,6,3004,Red Brick 1 x 2,regular
800,2,3005,Red Brick 1 x 1,regular
800,3,3006,Red Brick 2 x 10,regular
800,2,3008,Red Brick 1 x 8,regular
800,2,3009,Red Brick 1 x 6,regular
800,2,3010,Red Brick 1 x 4,regular
800,2,3020,White Plate 2 x 4,regular
800,2,3022,Blue Plate 2 x 2,regular
800,6,3023,Yellow Plate 1 x 2,regular
800,8,3034,Light Gray Plate 2 x 8,regular
800,1,3149c01,Light Gray Hinge Plate 2 x 4,regular
800,1,3187,Red Fence Gate 1 x 4 x 2 Base,regular
800,1,3404ac01,"White Turntable 4 x 4 Complete, Faceted",regular
800,2,3705,"Milky White Technic, Axle  4L",regular
800,4,3706,"Milky White Technic, Axle  6L",regular
800,2,3707,"Milky White Technic, Axle  8L",regular
800,1,3708,"Milky White Technic, Axle 12L",regular
800,5,3709c,"Light Gray Technic, Brick 2 x 4 with Holes on All Sides - Solid Studs",regular
800,1,700eD,"Light Gray Brick 10 x 20 with Bottom Tubes in Single Row Around Edge, with '+' Cross Support",regular
800,4,7039,Red Wheel with 4 Studs and Metal Axle,regular
800,4,7049b,"White Brick, Modified 2 x 4 with Wheels Holder, Trans-Clear Bottom",regular
800,1,bb0006,"Blue Electric, Motor 4.5V Type B 12 x 4 x 3 1/3 (Train)",regular
800,1,bb0045c02,Blue Electric 4.5V Battery Box 6 x 11 x 3 Type II for 1-Prong & 2-Prong Connectors,regular
800,2,bb0236bc01,"Blue Electric, Connector, 2-Way Male Rounded Narrow Type 2 with Cross-Cut Pins",regular
800,2,bb0301,"Metallic Silver Technic, Axle Metal Short, for Expert Builder Gears",regular
800,3,g15,"Blue Technic, Gear Expert Builder 15 Tooth with Axle Hole",regular
800,2,g21,"Yellow Technic, Gear Expert Builder 21 Tooth with Axle Hole",regular
800,4,g9,"Red Technic, Gear Expert Builder 9 Tooth with Axle Hole",regular
